Element,date,Attribute,Old.information,New.information
"Target",2022-06-17,"spear","Name","spear","spear.v1"
"Target",2022-06-17,"spear.v1","Name","spear.v1","spear.v2"
"Target",2022-06-17,"spear.v2","Name","spear.v2","spear.v1"
"Scenario",2022-06-20,"scenario_acotsp","Modified space parameter","parameter_acotsp","parameter_spear"
"Scenario",2022-06-20,"scenario_acotsp","Modified scenario instance set","tsp","sat"
"Scenario",2022-06-22,"scenario_acotsp","Modified options route","./FileSystem/Files/Scenario/scenario_acotsp/scenario_acotsp_options.txt","c:\users\nicol\desktop"
"Scenario",2022-06-22,"scenario_acotsp","Modified options route","./FileSystem/Files/Scenario/scenario_acotsp/scenario_acotsp_options.txt","c:\users\nicol\desktop\executable.txt"
"Scenario",2022-06-22,"scenario_acotsp","Modified options route","./FileSystem/Files/Scenario/scenario_acotsp/scenario_acotsp_options.txt","c:\users\nicol\desktop\executable.txt"
"Scenario",2022-06-22,"scenario_acotsp","Modified scenario type","sap","dunno"
"Scenario",2022-06-22,"scenario_acotsp","Modified options route","./FileSystem/Files/Scenario/scenario_acotsp/scenario_acotsp_options.txt","./FileSystem/Files/Scenario/scenario_acotsp/scenario_acotsp_options.txt"
"Scenario",2022-06-22,"scenario_acotsp","Modified scenario instance set","sat","tsp"
"Scenario",2022-06-22,"scenario_acotsp","Modified scenario type","sap","aaa no se"
"Version",2022-06-22,"3.5.0","Version name change","3.5.0","3.6.0"
"Version",2022-06-22,"3.6.1","Version name change","3.6.1","3.7.1"
"Version",2022-06-22,"3.7.1","Version name change","3.7.1","3.8.1"
"Version",2022-06-22,"3.8.1","Version name change","3.8.1","3.8.2"
"Version",2022-06-22,"3.8.2","Version name change","3.8.2","3.9.1"
"Version",2022-06-22,"3.9.1","Version name change","3.9.1","3.9.2"
